Title,Price,Review
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"I just received this case and do not yet know how it will hold up, but so far it fits my phone perfectly and has a far stronger magnet than I expected.

For my current phone, I’ve been using clear cases, and this is the fourth one I’ve bought. One was from Apple and two were reputable name-brand cases purchased from a big electronics retailer. Eventually, they all failed (cracked, came apart, yellowed, etc.), as I expect this one will, but at 1/3 the price of the other cases, this one won’t make me as mad about having to replace it."
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"(leaving a review after 8 months of use because the case is too good to not review!) Bought this for my boyfriend who is constantly dropping his phone or setting heavy things on top of it, his old Apple case did not protect his phone AT ALL and his phone was always having to be repaired… but with this case he hasn’t had any issues!!! He’s dropped his phone so many times and after 8 months of use the case still works amazing and has totally protected his phone. I just reordered another one for another friend, 100% recommend this case it’s amazing!!"
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"Cases for the newest release phones are ridiculous in price. However, there are some sellers on Amazon whom still provide deals and quality products. This case has solid protection, a metal ring for MagSafe attachments, and a warranty that allows for 100% satisfaction.

It attached to the MagSafe car mount with enough strength to avoid falling off while driving through Michigan's pot hole filled streets but is easily lifted off when detaching. I’ve actually pulled an inferior mount. But the case is nice and I would buy again."
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"Absolutely blessed by this iPhone 15 Case Set! 🙌 The case fits like a glove and feels like it's been sent from heaven itself! The tempered-glass screen protector is crystal clear and strong enough to withstand even my little one's accidental drops.😇 But what really makes this set a divine choice is the outstanding customer support! They went above and beyond, making sure I was as happy as a Sunday morning! If you’re seeking heavenly protection and top-notch service, look no further. Truly a match made in tech heaven!"" 📱✨🙌If you want to keep your phone as protected as a shepherd guards his sheep, this set is your answer. Highly recommended for anyone looking to keep their tech safe and stylish!"" 📱✨"
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"I recently purchased this clear phone case with a tempered glass screen protector, lens protectors, and MagSafe compatibility, and overall, for my wife and we are quite pleased with it. Here’s a breakdown of what we've experienced so far:

Pros:

Comprehensive Protection: The inclusion of a tempered glass screen protector and lens protectors alongside the clear case is a huge plus. It feels reassuring to have a complete set of protection for my phone. The screen protector is particularly impressive; it's clear, responsive, and doesn't affect the touch sensitivity of my screen.

MagSafe Compatibility: The built-in MagSafe ring works seamlessly with my MagSafe charger and accessories. The alignment is spot-on, and charging is both efficient and secure. This feature was a key selling point for me, and it definitely lives up to the hype.

Clear and Sleek Design: The case itself is crystal clear and showcases the design of my phone without adding much bulk. The clarity of the case has not diminished over time, and it resists yellowing, which is always a concern with clear cases.

Cons:

Edge Protection: While the case provides decent coverage, the edges feel a bit more exposed compared to other cases I’ve used. It’s not a deal-breaker, but I’d prefer slightly more cushion around the corners for added peace of mind against drops.

Lens Protectors Fit: The lens protectors are a good idea, but they can be a bit tricky to apply perfectly. I found myself spending a little extra time ensuring they were aligned correctly. Once in place, they do their job well, but a better application guide or pre-aligned design could improve this aspect.

Overall: This package offers excellent value with its all-in-one approach to phone protection and MagSafe compatibility. The minor issues with edge protection and lens protector application are outweighed by the benefits of having a clear, functional, and stylish case. I’d definitely recommend it for anyone looking to keep their phone safe while enjoying the benefits of MagSafe technology."
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"I ordered this item for my iPhone 15 pro max, which included a case, screen cover and camera lens protectors. The case is flexible and transparent. It is not slippery like some cases so you don’t have to worry about it sliding off the dashboard of a vehicle or other surface. The case and lens covers were very easy to install. The screen cover is something I always have issues with installing and this one was no different. I ended up having a few bubbles but this was not due to the quality of the product, likely just dust that floated onto my screen. If I would recommend one thing it would to be to include an install assist device for the screen. However this would likely increase the price. Overall it appears to be a great product and an excellent value compared to similar products. In addition I received quick response and resolution to a question I sent to the company. There was an issue with the QR code included not scanning. Janet from the ESR team immediately responded with a solution. So customer service appears to be excellent."
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"I love this case! I recently bought the magnetic charger and the previous case wasn’t compatible with that so I desperately needed a new one. The magnetic connection with the case on is equivalent to when there is no case, if not better (I mean seriously the charger does not move at all). The case seems to be really high quality and protective. My main concerns when I bought this were: 1. If the quality of the product was cheap and 2. If the magsafe component was reliable. Both concerns were kicked to the group because this case is amazing quality and magsafe component works extremely well. I am super satisfied. I purchased the all clear case for reference."
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"I purchased this phone case because I needed a MagSafe compatible case so that I could use a magnet pop socket! The “MagSafe” case I had previously mostly blocked the magnets from working on my charger. This case is wonderful! My magnets work super well, and the case fit my iPhone 13 Pro perfectly! I attached my new magnetic pop socket and it holds super well.
I love the clear design so that I can see the color of my phone through the case. My package came quickly!"
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"I have used two other clear case options before on my iPhone 13, the apple clear case, and the otterbox symmetry clear case. This case is certainly more plyable and less rigid than those other two options, especially the apple one, but I assume that this is a good thing especially with the cushioning material on the corners of the case. I haven't had any major drops with this case on but my phone has survived the ones that I have with no problem. This is also significantly cheaper than those cases I mentioned and I don't feel they provided any level of protection that is better enough to warrant the price difference. One other thing of note is the magsafe magnet on this phone is super strong. I got a magsafe wallet and when I put it on my apple clear case with an iphone 13 it doesn't grab strongly and will budge around, on this case, the wallet doesn't feel like it's going anywhere."
"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",13,"If you're looking for a slim and lightweight MagSafe case for your iPhone 15 Pro, The ESR clear/black option should make you happy. This case looks great and fits my 15 Pro very well.

The black edges have a nice smooth feel, but I wish they were a little more ""grippy."" The built-in MagSafe magnets provide wireless charging compatibility, while the clear back shows off the titanium finish of your iPhone Pro.

I am a little concerned with the case's protective qualities. The slim appearance comes at the cost of less protection around the most critical areas. The raised lip around the screen could be more robust, and I'd like to see more cushion around the frame, but I guess that's to be expected at this price-point. The edge around the lenses seems to work very well.

If you're serious about better drop protection, you should look at dual-layer or more rugged options instead. For me, this seems good enough for my day-to-day usage. I have a bulkier case if I'm heading out on an adventure. It will be interesting to see how this case holds up over time."
